,/lpc/nct6796dr/control/0,/lpc/nct6796dr/control/1,/lpc/nct6796dr/control/2,/lpc/nct6796dr/control/3,/lpc/nct6796dr/control/4,/lpc/nct6796dr/control/5,/lpc/nct6796dr/control/6,/lpc/nct6796dr/voltage/0,/lpc/nct6796dr/voltage/1,/lpc/nct6796dr/voltage/2,/lpc/nct6796dr/voltage/3,/lpc/nct6796dr/voltage/4,/lpc/nct6796dr/voltage/5,/lpc/nct6796dr/voltage/6,/lpc/nct6796dr/voltage/7,/lpc/nct6796dr/voltage/9,/lpc/nct6796dr/voltage/10,/lpc/nct6796dr/voltage/11,/lpc/nct6796dr/voltage/12,/lpc/nct6796dr/voltage/13,/lpc/nct6796dr/voltage/14,/lpc/nct6796dr/temperature/0,/lpc/nct6796dr/temperature/1,/lpc/nct6796dr/temperature/2,/lpc/nct6796dr/temperature/3,/lpc/nct6796dr/temperature/4,/lpc/nct6796dr/temperature/5,/lpc/nct6796dr/temperature/6,/lpc/nct6796dr/fan/1,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/5,/intelcpu/0/load/6,/intelcpu/0/load/7,/intelcpu/0/load/8,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/temperature/5,/intelcpu/0/temperature/6,/intelcpu/0/temperature/7,/intelcpu/0/temperature/8,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/clock/5,/intelcpu/0/clock/6,/intelcpu/0/clock/7,/intelcpu/0/clock/8,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/atigpu/0/temperature/0,/atigpu/0/temperature/9,/atigpu/0/power/0,/atigpu/0/fan/0,/atigpu/0/clock/0,/atigpu/0/clock/1,/atigpu/0/voltage/0,/atigpu/0/load/0,/atigpu/0/load/1,/atigpu/0/control/0,/hdd/0/temperature/0,/hdd/0/load/0
Time,"Fan Control #1","Fan Control #2","Fan Control #3","Fan Control #4","Fan Control #5","Fan Control #6","Fan Control #7","CPU VCore","Voltage #2","AVCC","3VCC","Voltage #5","Voltage #6","Voltage #7","3VSB","VTT","Voltage #11","Voltage #12","Voltage #13","Voltage #14","Voltage #15","CPU Core","Temperature #1","Temperature #2","Temperature #3","Temperature #4","Temperature #5","Temperature #6","Fan #2","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Hot Spot","GPU Total","GPU Fan","GPU Core","GPU Memory","GPU Core","GPU Core","GPU Memory","GPU Fan","Temperature","Used Space"
10/16/2022 13:11:19,73.3333359,45.8823547,60,60,30.19608,30.19608,60,0.664000034,1.672,3.47200012,3.37600017,0.992000043,1.064,1.35200012,3.47200012,0.528,0.528,0.480000019,0.904000044,1.28000009,1.672,41.5,34,28,8,23,28,-13,1577.10278,0.757575035,0,0,5.303031,0,10.6060619,2.23881,0.757575035,2.457881,37,36,36,36,37,37,38,37,38,801.103333,801.103333,801.103333,801.103333,801.103333,801.103333,801.103333,801.103333,17.8132076,16.8826256,0,0.8195409,100.137917,37.8485565,12.0625572,19.80803,37,37,1,0,0,4,0.006,0,0,0,31,10.9894867
10/16/2022 13:11:24,69.8039246,41.9607849,60,60,30.19608,30.19608,60,0.68,1.672,3.47200012,3.36000013,0.992000043,1.064,1.3440001,3.456,0.528,0.528,0.480000019,0.904000044,1.28000009,1.672,39,34,28,8.5,23,28,-12,1571.59485,0,2.34375,0.793647766,2.33211517,0,0,0.78125,0,0.781345367,40,39,38,38,38,41,40,38,41,4606.347,4606.347,4606.347,4606.347,4606.347,4606.347,801.1039,801.1039,18.7595768,17.8246841,0,0.7745163,100.137985,37.8501854,12.063076,19.80751,37,37,1,0,0,4,0.006,0,0,0,31,10.9894867
10/16/2022 13:11:29,72.54902,44.705883,60,60,30.19608,30.19608,60,0.712,1.672,3.47200012,3.37600017,0.992000043,1.064,1.3440001,3.456,0.528,0.528,0.480000019,0.904000044,1.28000009,1.672,39.5,34,28,8,23,28,-12,1577.10278,6.959134,5.46875,0,0,2.34375,2.3317337,3.90625,0,2.62620449,37,36,36,36,36,36,39,37,39,4606.341,4606.341,4105.65137,3204.411,2303.17041,1401.92981,801.1027,801.1027,18.84759,17.87258,0,0.8218144,100.13784,37.9061546,12.0809135,19.7896729,37,37,1,0,0,0,0.006,0,0,0,31,10.9894867
10/16/2022 13:11:34,75.68628,48.6274529,60,60,30.19608,30.19608,60,0.76000005,1.672,3.47200012,3.36000013,0.992000043,1.064,1.3440001,3.456,0.528,0.528,0.480000019,0.904000044,1.28000009,1.672,43.5,34,28,8,23,28,-12,1616.76648,0.78125,0.78125,0.757575035,0.78125,0.78125,1.58730149,7.694125,10.15625,2.91503668,40,38,39,40,39,41,42,41,42,4606.347,801.1038,801.1038,801.1038,801.1038,801.1038,801.1038,801.1038,26.24703,25.2629147,0,0.923020244,100.137978,38.05766,12.1292,19.7413864,37,37,1,0,0,2,0.006,0,0,0,31,10.9894867
10/16/2022 13:11:39,77.2549057,50.19608,60,60,30.19608,30.19608,60,1.184,1.672,3.456,3.36000013,0.992000043,1.064,1.3440001,3.456,0.528,0.528,0.480000019,0.904000044,1.27200007,1.672,49,35,28,8.5,22,28,-12,1660.5166,9.375,3.90625,4.71230125,0,3.87018919,1.53846145,1.53846145,12.5310183,4.68395948,41,39,39,39,40,41,40,39,41,3805.243,2603.58716,1702.34546,801.10376,4606.34668,4606.34668,4606.34668,3705.105,35.929348,34.99443,0,0.995759964,100.13797,38.0966225,12.1416168,19.72897,37,37,1,0,0,4,0.006,0,0,0,31,10.9894867
10/16/2022 13:11:44,70.19608,42.3529434,60,60,30.19608,30.19608,60,1.008,1.672,3.47200012,3.36000013,0.992000043,1.064,1.3440001,3.456,0.528,0.528,0.480000019,0.904000044,1.27200007,1.672,42.5,35,28,8.5,23,28,-12,1500,0,0,0,6.349206,0,0,1.5625,3.125,1.37958527,39,38,39,38,38,39,39,39,39,3705.10522,2803.86353,4005.51929,3104.27734,2203.03564,4606.347,4606.347,4606.347,18.7415676,17.808733,0,0.8023355,100.137978,37.9520073,12.0955276,19.7750587,37,37,1,0,0,2,0.006,0,0,0,31,10.9915237
10/16/2022 13:11:49,69.8039246,41.9607849,60,60,30.19608,30.19608,60,0.664000034,1.672,3.456,3.36000013,0.992000043,1.064,1.3440001,3.456,0.528,0.528,0.480000019,0.904000044,1.28000009,1.68000007,39,35,28,8.5,23,28,-13,1546.39172,0,3.125,0,0,0,0,0,0.7692337,0.4867792,37,37,37,37,37,37,38,38,38,801.103149,801.103149,801.103149,801.103149,801.103149,801.103149,4406.06738,3204.4126,13.0413952,12.1034708,0,0.7103364,100.137894,37.9074,12.08131,19.7892761,37,38,1,0,0,0,0.006,0,0,0,31,10.9915237
10/16/2022 13:11:54,69.8039246,41.9607849,60,60,30.19608,30.19608,60,0.992000043,1.672,3.47200012,3.36000013,0.992000043,1.064,1.3440001,3.456,0.528,0.528,0.480000019,0.904000044,1.28000009,1.68000007,40.5,35,28,8,23,28,-13,1555.29956,0.78125,3.125,0,0.78125,0,0.7692337,0,1.5625,0.8774042,37,36,38,37,37,38,38,37,38,801.1033,4606.34375,4606.34375,4606.34375,4606.34375,801.1033,801.1033,801.1033,15.178874,14.2482042,0,0.7523948,100.137909,37.8790054,12.0722618,19.7983246,37,37,1,0,0,0,0.006,0,0,0,31,10.9915237
10/16/2022 13:11:59,69.8039246,41.9607849,60,60,30.19608,30.19608,60,0.656,1.672,3.47200012,3.37600017,0.992000043,1.064,1.35200012,3.47200012,0.528,0.528,0.480000019,0.904000044,1.28000009,1.68000007,38.5,35,28,8,23,28,-13,1555.29956,2.31971145,0,3.07765,0,0,0,0,1.5625,0.869983435,37,36,38,36,37,38,39,41,41,4406.07129,3504.82935,2303.17358,4606.347,801.1038,801.1038,801.1038,801.1038,10.5155973,9.574823,0,0.6859291,100.137978,37.8422737,12.0605545,19.8100319,37,37,1,0,0,2,0.006,0,0,0,31,10.9915237
10/16/2022 13:12:04,70.98039,43.1372566,60,60,30.19608,30.19608,60,1.20800006,1.672,3.47200012,3.36000013,0.992000043,1.064,1.35200012,3.456,0.528,0.528,0.480000019,0.904000044,1.28000009,1.672,46.5,35,28,8,23,28,-12,1511.75818,0.78125,0,0,0.7692337,0,18.181818,0.757575035,0,2.56123543,48,38,39,39,38,41,40,38,48,4706.482,4606.34375,4606.34375,801.1033,801.1033,801.1033,801.1033,801.1033,19.0173225,18.0737038,0,0.8219683,100.137909,37.8602371,12.06628,19.804306,37,37,1,0,0,4,0.006,0,0,0,31,10.9915237
