,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/5,/intelcpu/0/load/6,/intelcpu/0/load/7,/intelcpu/0/load/8,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/temperature/5,/intelcpu/0/temperature/6,/intelcpu/0/temperature/7,/intelcpu/0/temperature/8,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/clock/5,/intelcpu/0/clock/6,/intelcpu/0/clock/7,/intelcpu/0/clock/8,/ram/load/0,/ram/data/0,/ram/data/1,/hdd/0/temperature/0,/hdd/0/load/0,/hdd/1/load/0,/hdd/2/load/0,/hdd/3/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","Memory","Used Memory","Available Memory","Temperature","Used Space","Used Space","Used Space","Used Space"
10/21/2022 00:17:20,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.80417633,2.16852951,29.7020569,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:17:25,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.804138,2.168518,29.7020683,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:17:31,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.80417633,2.16852951,29.7020569,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:17:36,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.80425262,2.16855621,29.70203,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:17:41,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.804062,2.16849518,29.7020912,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:17:46,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.804146,2.168522,29.7020645,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:17:51,0.78125,0,0,0,0,0,0,0,0.09765625,,,,,,,,,,,,,,,,,,6.79894257,2.16686249,29.7037239,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:17:56,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.79303741,2.16498184,29.7056046,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:18:01,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.78507233,2.16244125,29.7081451,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:18:06,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.78478241,2.1623497,29.7082367,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:18:11,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.78471375,2.16232681,29.70826,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:18:16,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.784561,2.16227722,29.70831,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:18:21,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.783943,2.16208267,29.7085037,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:18:26,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.7836,2.161972,29.7086143,42,12.4865189,0.000381469727,35.4988251,67.08646
